Threshold,Theta,Ratio,Number of Connections
1,0.1,10.0,0
1,0.2,5.0,0
1,0.3,3.3,0
1,0.4,2.5,0
1,0.5,2.0,0
1,1,1.0,0
1,2,0.5,0
1,3,0.3,0
1,4,0.3,0
1,5,0.2,0
2,0.1,20.0,1
2,0.2,10.0,1
2,0.3,6.7,1
2,0.4,5.0,1
2,0.5,4.0,1
2,1,2.0,1
2,2,1.0,1
2,3,0.7,1
2,4,0.5,1
2,5,0.4,1
3,0.1,30.0,2
3,0.2,15.0,2
3,0.3,10.0,2
3,0.4,7.5,2
3,0.5,6.0,2
3,1,3.0,2
3,2,1.5,2
3,3,1.0,2
3,4,0.8,2
3,5,0.6,2
4,0.1,40.0,6
4,0.2,20.0,6
4,0.3,13.3,6
4,0.4,10.0,6
4,0.5,8.0,6
4,1,4.0,6
4,2,2.0,6
4,3,1.3,6
4,4,1.0,6
4,5,0.8,6
5,0.1,50.0,7
5,0.2,25.0,7
5,0.3,16.7,7
5,0.4,12.5,7
5,0.5,10.0,7
5,1,5.0,7
5,2,2.5,7
5,3,1.7,7
5,4,1.3,7
5,5,1.0,7
10,5,2.0,13
15,5,3.0,13
20,5,4.0,13
25,5,5.0,13
30,5,6.0,13
10,4,2.5,18
15,4,3.8,18
20,4,5.0,18
25,4,6.3,18
30,4,7.5,18
10,0.1,100.0,19
10,0.2,50.0,19
10,0.3,33.3,19
10,0.4,25.0,19
10,0.5,20.0,19
10,1,10.0,19
10,2,5.0,19
10,3,3.3,19
15,0.1,150.0,26
15,0.2,75.0,26
15,0.3,50.0,26
15,0.4,37.5,26
15,0.5,30.0,26
15,1,15.0,26
15,2,7.5,26
15,3,5.0,26
20,3,6.7,26
25,3,8.3,26
30,3,10.0,26
20,2,10.0,27
25,2,12.5,27
30,2,15.0,27
20,0.1,200.0,28
25,0.1,250.0,28
30,0.1,300.0,28
20,0.2,100.0,28
25,0.2,125.0,28
30,0.2,150.0,28
20,0.3,66.7,28
25,0.3,83.3,28
30,0.3,100.0,28
20,0.4,50.0,28
25,0.4,62.5,28
30,0.4,75.0,28
20,0.5,40.0,28
25,0.5,50.0,28
30,0.5,60.0,28
20,1,20.0,28
25,1,25.0,28
30,1,30.0,28
