model; shuffled; c; degree; gamma; epsilon; r2; rmse
linear; True; 0.1; 2; scale; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; 2; scale; 0.1; 0.326639194023319; 0.7599468965795705
rbf; True; 0.1; 2; scale; 0.1; 0.5931499551589581; 0.5907129786238215
linear; False; 0.1; 2; scale; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; 2; scale; 0.1; 0.08603830384302791; 0.9527411972909204
rbf; False; 0.1; 2; scale; 0.1; 0.5238281515064789; 0.6876901525211029
linear; True; 0.1; 2; scale; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; 2; scale; 0.1; 0.326639194023319; 0.7599468965795705
rbf; True; 0.1; 2; scale; 0.1; 0.5931499551589581; 0.5907129786238215
linear; False; 0.1; 2; scale; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; 2; scale; 0.1; 0.08603830384302791; 0.9527411972909204
rbf; False; 0.1; 2; scale; 0.1; 0.5238281515064789; 0.6876901525211029
linear; True; 0.1; 2; scale; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; 2; scale; 0.1; 0.326639194023319; 0.7599468965795705
rbf; True; 0.1; 2; scale; 0.1; 0.5931499551589581; 0.5907129786238215
linear; False; 0.1; 2; scale; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; 2; scale; 0.1; 0.08603830384302791; 0.9527411972909204
rbf; False; 0.1; 2; scale; 0.1; 0.5238281515064789; 0.6876901525211029
linear; True; 0.1; 2; scale; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; 2; scale; 0.1; 0.326639194023319; 0.7599468965795705
rbf; True; 0.1; 2; scale; 0.1; 0.5931499551589581; 0.5907129786238215
linear; False; 0.1; 2; scale; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; 2; scale; 0.1; 0.08603830384302791; 0.9527411972909204
rbf; False; 0.1; 2; scale; 0.1; 0.5238281515064789; 0.6876901525211029
linear; True; 0.1; 2; scale; 0.2; 0.5143696082121599; 0.6453751779383237
poly; True; 0.1; 2; scale; 0.2; 0.33645154145513756; 0.7543895279384608
rbf; True; 0.1; 2; scale; 0.2; 0.5914712727289697; 0.5919303789271246
linear; False; 0.1; 2; scale; 0.2; 0.43269070932660714; 0.7506213196100862
poly; False; 0.1; 2; scale; 0.2; 0.09902743171235606; 0.945946841700905
