model; shuffled; hidden_layers; units; learning_rate; epochs; dropout_rate; r2; rmse
RF; True; 1; 32; 0.1; 50; 0.0; 0.48330766040554674; 0.6656950692848153
RF; False; 1; 32; 0.1; 50; 0.0; 0.4907150023813659; 0.7111994119924411
RF; True; 1; 32; 0.1; 50; 0.2; 0.6001379090538654; 0.5856180378458896
RF; False; 1; 32; 0.1; 50; 0.2; 0.544192801185452; 0.6728240972388565
RF; True; 1; 32; 0.1; 50; 0.5; 0.5650369798545486; 0.6107809688712852
RF; False; 1; 32; 0.1; 50; 0.5; 0.5155971908084886; 0.69360828797781
RF; True; 1; 32; 0.1; 100; 0.0; 0.5153163644040011; 0.644745778455306
RF; False; 1; 32; 0.1; 100; 0.0; 0.5301970956798125; 0.6830756373341011
RF; True; 1; 32; 0.1; 100; 0.2; 0.35226021356082404; 0.7453489013991264
RF; False; 1; 32; 0.1; 100; 0.2; 0.5463706280468277; 0.6712148106064845
RF; True; 1; 32; 0.1; 100; 0.5; 0.28956675137383603; 0.7805863777737079
RF; False; 1; 32; 0.1; 100; 0.5; 0.48443808661556653; 0.7155687414059694
RF; True; 1; 32; 0.01; 50; 0.0; 0.6195778222399027; 0.5712053184858865
RF; False; 1; 32; 0.01; 50; 0.0; 0.5050218112980362; 0.7011387635536318
RF; True; 1; 32; 0.01; 50; 0.2; 0.625810363815398; 0.5665069030086779
RF; False; 1; 32; 0.01; 50; 0.2; 0.5835462013757133; 0.6431234734954399
RF; True; 1; 32; 0.01; 50; 0.5; 0.6276940207307555; 0.5650792165171502
RF; False; 1; 32; 0.01; 50; 0.5; 0.5778175451364693; 0.6475317053508483
RF; True; 1; 32; 0.01; 100; 0.0; 0.6423516307813286; 0.5538439976526832
RF; False; 1; 32; 0.01; 100; 0.0; 0.5745162101079196; 0.6500585231549261
RF; True; 1; 32; 0.01; 100; 0.2; 0.6019688011350756; 0.5842757830735273
RF; False; 1; 32; 0.01; 100; 0.2; 0.5868070659648332; 0.6406006727581879
RF; True; 1; 32; 0.01; 100; 0.5; 0.6334906289472743; 0.5606629663612578
RF; False; 1; 32; 0.01; 100; 0.5; 0.5604877541681161; 0.6606880282266389
RF; True; 1; 32; 0.001; 50; 0.0; 0.4215272523761333; 0.7043698866901583
RF; False; 1; 32; 0.001; 50; 0.0; 0.388837039271808; 0.7790932836735371
RF; True; 1; 32; 0.001; 50; 0.2; 0.5327394362105206; 0.6330512827389861
RF; False; 1; 32; 0.001; 50; 0.2; 0.3578695384897327; 0.7985876390074176
RF; True; 1; 32; 0.001; 50; 0.5; 0.5361794733402909; 0.6307166721614891
RF; False; 1; 32; 0.001; 50; 0.5; 0.309907968088995; 0.8278744009955681
RF; True; 1; 32; 0.001; 100; 0.0; 0.5056595710075507; 0.6511370293908227
RF; False; 1; 32; 0.001; 100; 0.0; 0.34956564591184924; 0.803734634020722
RF; True; 1; 32; 0.001; 100; 0.2; 0.42761202515554064; 0.7006555708573264
RF; False; 1; 32; 0.001; 100; 0.2; 0.48282425132505147; 0.7166878192117944
RF; True; 1; 32; 0.001; 100; 0.5; 0.46763807290930703; 0.6757138536750874
RF; False; 1; 32; 0.001; 100; 0.5; 0.49062632622247815; 0.7112613259378033
RF; True; 1; 64; 0.1; 50; 0.0; 0.19527019055446249; 0.830776825414465
RF; False; 1; 64; 0.1; 50; 0.0; 0.3037255116913873; 0.8315745486958837
RF; True; 1; 64; 0.1; 50; 0.2; 0.18139929386280096; 0.8379061658857649
RF; False; 1; 64; 0.1; 50; 0.2; 0.3854687824437075; 0.7812372131566789
RF; True; 1; 64; 0.1; 50; 0.5; 0.5108664275483967; 0.6476987590338442
RF; False; 1; 64; 0.1; 50; 0.5; 0.5406642552088976; 0.6754233473400787
RF; True; 1; 64; 0.1; 100; 0.0; 0.5566294680211167; 0.616655687299085
RF; False; 1; 64; 0.1; 100; 0.0; 0.5063186892676246; 0.7002196444688016
RF; True; 1; 64; 0.1; 100; 0.2; 0.4416168663560367; 0.6920308808254088
RF; False; 1; 64; 0.1; 100; 0.2; 0.19424871342484207; 0.894564070759312
RF; True; 1; 64; 0.1; 100; 0.5; 0.49050589494132424; 0.6610417820813367
RF; False; 1; 64; 0.1; 100; 0.5; 0.43111537951112155; 0.7516627765489633
RF; True; 1; 64; 0.01; 50; 0.0; 0.6418114115623514; 0.5542621238071854
RF; False; 1; 64; 0.01; 50; 0.0; 0.6213726693886134; 0.6132208703217552
RF; True; 1; 64; 0.01; 50; 0.2; 0.5750738301678437; 0.6036928999778907
RF; False; 1; 64; 0.01; 50; 0.2; 0.6091915299596459; 0.623007006981108
RF; True; 1; 64; 0.01; 50; 0.5; 0.6302364064554582; 0.5631465180719752
RF; False; 1; 64; 0.01; 50; 0.5; 0.6118700116217709; 0.6208683866289793
RF; True; 1; 64; 0.01; 100; 0.0; 0.6474146881616312; 0.5499097716248427
RF; False; 1; 64; 0.01; 100; 0.0; 0.5408834111704053; 0.6752622008203414
RF; True; 1; 64; 0.01; 100; 0.2; 0.628479125112419; 0.5644830935343466
RF; False; 1; 64; 0.01; 100; 0.2; 0.592415312892898; 0.6362383995897763
RF; True; 1; 64; 0.01; 100; 0.5; 0.6174510793980785; 0.5727997493367252
RF; False; 1; 64; 0.01; 100; 0.5; 0.5552775809740333; 0.6645925354102017
RF; True; 1; 64; 0.001; 50; 0.0; 0.5352810785470563; 0.6313272083744413
RF; False; 1; 64; 0.001; 50; 0.0; 0.5054389988676184; 0.7008432272619187
RF; True; 1; 64; 0.001; 50; 0.2; 0.5970002738359783; 0.5879111601002426
RF; False; 1; 64; 0.001; 50; 0.2; 0.5038750130476333; 0.7019505160073942
RF; True; 1; 64; 0.001; 50; 0.5; 0.5345419869916319; 0.6318290420743827
RF; False; 1; 64; 0.001; 50; 0.5; 0.5100486739276981; 0.6975693916149573
RF; True; 1; 64; 0.001; 100; 0.0; 0.5512415090495025; 0.620391256250001
RF; False; 1; 64; 0.001; 100; 0.0; 0.5425614753437575; 0.6740270346041907
RF; True; 1; 64; 0.001; 100; 0.2; 0.5463487644517582; 0.6237641028465414
RF; False; 1; 64; 0.001; 100; 0.2; 0.4925400203915846; 0.7099239801326743
RF; True; 1; 64; 0.001; 100; 0.5; 0.5537802406586005; 0.6186339181797811
RF; False; 1; 64; 0.001; 100; 0.5; 0.47833466461631413; 0.7197918696441196
RF; True; 1; 128; 0.1; 50; 0.0; -0.5620326238767748; 1.1574557022868053
RF; False; 1; 128; 0.1; 50; 0.0; 0.4661534615239358; 0.7281471649216986
RF; True; 1; 128; 0.1; 50; 0.2; 0.554756456035307; 0.6179568407997934
RF; False; 1; 128; 0.1; 50; 0.2; 0.29191759707030496; 0.838596118971982
RF; True; 1; 128; 0.1; 50; 0.5; -0.9039649319511169; 1.2778762580169514
RF; False; 1; 128; 0.1; 50; 0.5; 0.4839948424892333; 0.7158762733358554
RF; True; 1; 128; 0.1; 100; 0.0; 0.3499691301771083; 0.7466659033572022
RF; False; 1; 128; 0.1; 100; 0.0; 0.5647195146406809; 0.6574996802468185
RF; True; 1; 128; 0.1; 100; 0.2; 0.47749397883919675; 0.6694297032609451
RF; False; 1; 128; 0.1; 100; 0.2; 0.5284482352099222; 0.6843458447902957
RF; True; 1; 128; 0.1; 100; 0.5; 0.5399514913985397; 0.6281467865463046
RF; False; 1; 128; 0.1; 100; 0.5; 0.47401945558789094; 0.722762793038849
RF; True; 1; 128; 0.01; 50; 0.0; 0.641971137629308; 0.554138529723432
RF; False; 1; 128; 0.01; 50; 0.0; 0.6175634314814055; 0.6162978515457064
RF; True; 1; 128; 0.01; 50; 0.2; 0.6488662713700594; 0.5487766230764755
RF; False; 1; 128; 0.01; 50; 0.2; 0.5882106235702715; 0.6395117325593204
RF; True; 1; 128; 0.01; 50; 0.5; 0.6027906060360082; 0.5836723017340181
RF; False; 1; 128; 0.01; 50; 0.5; 0.563291700590812; 0.6585771678859049
RF; True; 1; 128; 0.01; 100; 0.0; 0.6268643308959212; 0.5657085101545435
RF; False; 1; 128; 0.01; 100; 0.0; 0.6111837992647048; 0.6214169907376961
RF; True; 1; 128; 0.01; 100; 0.2; 0.5772594816013743; 0.6021383201224663
RF; False; 1; 128; 0.01; 100; 0.2; 0.5947206484687833; 0.6344365373541169
RF; True; 1; 128; 0.01; 100; 0.5; 0.612999245540063; 0.5761230280543083
RF; False; 1; 128; 0.01; 100; 0.5; 0.5986996120102452; 0.6313144605971278
RF; True; 1; 128; 0.001; 50; 0.0; 0.5898914150985768; 0.5930738277128125
RF; False; 1; 128; 0.001; 50; 0.0; 0.5150355474579336; 0.6940102753542015
RF; True; 1; 128; 0.001; 50; 0.2; 0.6052646340086218; 0.5818517542044871
RF; False; 1; 128; 0.001; 50; 0.2; 0.5208635832838762; 0.689827554237455
RF; True; 1; 128; 0.001; 50; 0.5; 0.590216217726456; 0.5928389263955764
RF; False; 1; 128; 0.001; 50; 0.5; 0.5366502905735211; 0.6783680651412296
