model; shuffled; n_neighbors; weights; algorithm; leaf_size; r2; rmse
KNN; True; 3; uniform; auto; 20; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; auto; 20; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; auto; 30; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; auto; 30; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; auto; 40; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; auto; 40; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; auto; 50; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; auto; 50; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; ball_tree; 20; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; ball_tree; 20; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; ball_tree; 30; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; ball_tree; 30; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; ball_tree; 40; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; ball_tree; 40; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; ball_tree; 50; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; ball_tree; 50; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; kd_tree; 20; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; kd_tree; 20; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; kd_tree; 30; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; kd_tree; 30; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; kd_tree; 40; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; kd_tree; 40; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; kd_tree; 50; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; kd_tree; 50; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; brute; 20; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; brute; 20; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; brute; 30; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; brute; 30; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; brute; 40; 0.695484986362292; 0.5110503424649517
