model; shuffled; kernel; alpha; gamma; r2; rmse
RF; True; linear; 0.1; None; 0.5308954759284283; 0.6342991646733475
RF; False; linear; 0.1; None; 0.5031666002469632; 0.7024514919292596
RF; True; linear; 0.1; 0.01; 0.5308954759284283; 0.6342991646733475
RF; False; linear; 0.1; 0.01; 0.5031666002469632; 0.7024514919292596
RF; True; linear; 0.1; 0.1; 0.5308954759284283; 0.6342991646733475
RF; False; linear; 0.1; 0.1; 0.5031666002469632; 0.7024514919292596
RF; True; linear; 0.1; 1; 0.5308954759284283; 0.6342991646733475
RF; False; linear; 0.1; 1; 0.5031666002469632; 0.7024514919292596
RF; True; linear; 0.1; 10; 0.5308954759284283; 0.6342991646733475
RF; False; linear; 0.1; 10; 0.5031666002469632; 0.7024514919292596
RF; True; linear; 1; None; 0.5309272476386261; 0.6342776842681873
RF; False; linear; 1; None; 0.5031365571802189; 0.702472729911695
RF; True; linear; 1; 0.01; 0.5309272476386261; 0.6342776842681873
RF; False; linear; 1; 0.01; 0.5031365571802189; 0.702472729911695
RF; True; linear; 1; 0.1; 0.5309272476386261; 0.6342776842681873
RF; False; linear; 1; 0.1; 0.5031365571802189; 0.702472729911695
RF; True; linear; 1; 1; 0.5309272476386261; 0.6342776842681873
RF; False; linear; 1; 1; 0.5031365571802189; 0.702472729911695
RF; True; linear; 1; 10; 0.5309272476386261; 0.6342776842681873
RF; False; linear; 1; 10; 0.5031365571802189; 0.702472729911695
RF; True; linear; 10; None; 0.5312393626811998; 0.6340666290025868
RF; False; linear; 10; None; 0.5028349017711375; 0.702685939948246
RF; True; linear; 10; 0.01; 0.5312393626811998; 0.6340666290025868
RF; False; linear; 10; 0.01; 0.5028349017711375; 0.702685939948246
RF; True; linear; 10; 0.1; 0.5312393626811998; 0.6340666290025868
RF; False; linear; 10; 0.1; 0.5028349017711375; 0.702685939948246
RF; True; linear; 10; 1; 0.5312393626811998; 0.6340666290025868
RF; False; linear; 10; 1; 0.5028349017711375; 0.702685939948246
RF; True; linear; 10; 10; 0.5312393626811998; 0.6340666290025868
RF; False; linear; 10; 10; 0.5028349017711375; 0.702685939948246
RF; True; linear; 100; None; 0.5338449882387983; 0.6323019303934059
RF; False; linear; 100; None; 0.4997105385981083; 0.7048904466951867
RF; True; linear; 100; 0.01; 0.5338449882387983; 0.6323019303934059
RF; False; linear; 100; 0.01; 0.4997105385981083; 0.7048904466951867
RF; True; linear; 100; 0.1; 0.5338449882387983; 0.6323019303934059
RF; False; linear; 100; 0.1; 0.4997105385981083; 0.7048904466951867
RF; True; linear; 100; 1; 0.5338449882387983; 0.6323019303934059
RF; False; linear; 100; 1; 0.4997105385981083; 0.7048904466951867
RF; True; linear; 100; 10; 0.5338449882387983; 0.6323019303934059
RF; False; linear; 100; 10; 0.4997105385981083; 0.7048904466951867
RF; True; rbf; 0.1; None; 0.7568884787914165; 0.45662753811847034
RF; False; rbf; 0.1; None; 0.6475994468428691; 0.5916014613470939
RF; True; rbf; 0.1; 0.01; 0.6788171235490188; 0.5248503853709691
RF; False; rbf; 0.1; 0.01; 0.6424351123609562; 0.5959205744838748
RF; True; rbf; 0.1; 0.1; 0.7555856138882147; 0.45784946509879093
RF; False; rbf; 0.1; 0.1; 0.6569721749395714; 0.5836810885208761
RF; True; rbf; 0.1; 1; 0.5990994583346789; 0.5863779762882554
RF; False; rbf; 0.1; 1; 0.36873804568264046; 0.7918004698705444
RF; True; rbf; 0.1; 10; 0.10698469484883011; 0.8751626605662346
RF; False; rbf; 0.1; 10; 0.022671683396928044; 0.9852153923899305
RF; True; rbf; 1; None; 0.7016596447025689; 0.5058425173502976
RF; False; rbf; 1; None; 0.6471393939004118; 0.5919874982316523
RF; True; rbf; 1; 0.01; 0.6467279453542742; 0.5504450504037233
RF; False; rbf; 1; 0.01; 0.5986658032651483; 0.6313410535195195
RF; True; rbf; 1; 0.1; 0.6990004024129002; 0.5080919173653401
RF; False; rbf; 1; 0.1; 0.6509992778563822; 0.5887407681665067
RF; True; rbf; 1; 1; 0.5286481735727975; 0.6358166930690987
RF; False; rbf; 1; 1; 0.3544718848071132; 0.8006976031504657
RF; True; rbf; 1; 10; 0.07729186235304697; 0.8895933017478683
RF; False; rbf; 1; 10; 0.016995112729624173; 0.9880724401836833
RF; True; rbf; 10; None; 0.6089693075070932; 0.5791149177647719
RF; False; rbf; 10; None; 0.5715994826212669; 0.6522828208983651
RF; True; rbf; 10; 0.01; 0.574100510125883; 0.6043839027324446
RF; False; rbf; 10; 0.01; 0.5100520343708455; 0.6975669993913053
RF; True; rbf; 10; 0.1; 0.6145056673541291; 0.5750006393939396
RF; False; rbf; 10; 0.1; 0.5805964199010369; 0.6453971065743535
RF; True; rbf; 10; 1; 0.3153008379909872; 0.7663183532112315
RF; False; rbf; 10; 1; 0.22478703140235612; 0.8774481488970202
RF; True; rbf; 10; 10; 0.02207783051411283; 0.9158228490847977
RF; False; rbf; 10; 10; 0.005377132689407094; 0.9938942253461643
RF; True; rbf; 100; None; 0.41782462966192346; 0.7066205164579038
RF; False; rbf; 100; None; 0.3806666097378514; 0.7842837104269568
RF; True; rbf; 100; 0.01; 0.40180740356916167; 0.7162750862485846
RF; False; rbf; 100; 0.01; 0.3263148578065177; 0.8179738729740481
RF; True; rbf; 100; 0.1; 0.4372721321684553; 0.6947179821958165
RF; False; rbf; 100; 0.1; 0.3975747133422801; 0.7735039643308477
RF; True; rbf; 100; 1; 0.10902666779790848; 0.8741615124267222
RF; False; rbf; 100; 1; 0.08160517008330292; 0.9550490182490021
RF; True; rbf; 100; 10; 0.0027694749769371363; 0.9248197817125055
RF; False; rbf; 100; 10; 0.0004895125121118227; 0.9963332524462604
RF; True; sigmoid; 0.1; None; -297.02305924563336; 15.987636411714346
