model; shuffled; max_depth; n_estimators; min_samples_split; min_samples_leaf; bootstrap; r2; rmse
RF; True; 10; 100; 2; 1; True; 0.6958769151704975; 0.5107213605885635
RF; False; 10; 100; 2; 1; True; 0.60509083842201; 0.6262670346104038
RF; True; 10; 100; 2; 1; False; 0.5868177362334743; 0.5952921617072051
RF; False; 10; 100; 2; 1; False; 0.31030707444202765; 0.8276349708155105
RF; True; 10; 100; 2; 2; True; 0.704827479531311; 0.5031497840924166
RF; False; 10; 100; 2; 2; True; 0.60627948773311; 0.6253238140505488
RF; True; 10; 100; 2; 2; False; 0.5544610353845496; 0.6181618150691878
RF; False; 10; 100; 2; 2; False; 0.37077340165589945; 0.7905229519110704
RF; True; 10; 100; 2; 4; True; 0.7059383913585687; 0.5022020638266408
RF; False; 10; 100; 2; 4; True; 0.608883212214028; 0.6232527107729485
RF; True; 10; 100; 2; 4; False; 0.5713585408013939; 0.6063263133458769
RF; False; 10; 100; 2; 4; False; 0.3779218356725418; 0.7860196912559061
RF; True; 10; 100; 5; 1; True; 0.7102191826758639; 0.49853326852462077
RF; False; 10; 100; 5; 1; True; 0.5999677123140348; 0.6303162015243969
RF; True; 10; 100; 5; 1; False; 0.5886719893110177; 0.5939549025574903
RF; False; 10; 100; 5; 1; False; 0.3180956917030834; 0.8229485124559716
RF; True; 10; 100; 5; 2; True; 0.7162725632666977; 0.4932987285255176
RF; False; 10; 100; 5; 2; True; 0.6125219063283274; 0.6203467689774459
RF; True; 10; 100; 5; 2; False; 0.5655059513951186; 0.6104516119731278
RF; False; 10; 100; 5; 2; False; 0.37581403155218107; 0.7873502109455524
RF; True; 10; 100; 5; 4; True; 0.7092505870878973; 0.49936574994320715
RF; False; 10; 100; 5; 4; True; 0.5995128543119204; 0.6306744512503805
RF; True; 10; 100; 5; 4; False; 0.5713504399396762; 0.6063320427758099
RF; False; 10; 100; 5; 4; False; 0.37791977271854527; 0.7860209945656925
RF; True; 10; 100; 10; 1; True; 0.6945453972682081; 0.5118381648664942
RF; False; 10; 100; 10; 1; True; 0.5946676725152024; 0.634478001078054
RF; True; 10; 100; 10; 1; False; 0.5890379443719872; 0.5936906254301547
RF; False; 10; 100; 10; 1; False; 0.3271637464233398; 0.8174583594634556
RF; True; 10; 100; 10; 2; True; 0.706909679629449; 0.5013719887430766
RF; False; 10; 100; 10; 2; True; 0.6019442094049141; 0.62875712637138
RF; True; 10; 100; 10; 2; False; 0.5742427712378666; 0.6042829546106366
