model; shuffled; c; gamma; epsilon; r2; rmse
linear; True; 0.1; scale; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; scale; 0.1; 0.5513065931896899; 0.6203462664654946
rbf; True; 0.1; scale; 0.1; 0.5931499551589581; 0.5907129786238215
linear; False; 0.1; scale; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; scale; 0.1; 0.33298708715718595; 0.8139131555338603
rbf; False; 0.1; scale; 0.1; 0.5238281515064789; 0.6876901525211029
linear; True; 0.1; scale; 0.3; 0.524690089658288; 0.6384806847574926
poly; True; 0.1; scale; 0.3; 0.5711147886220607; 0.6064986862602824
rbf; True; 0.1; scale; 0.3; 0.5884262179854163; 0.5941323221361349
linear; False; 0.1; scale; 0.3; 0.4472609959639344; 0.7409194628618705
poly; False; 0.1; scale; 0.3; 0.3567186188524698; 0.7993029910883344
rbf; False; 0.1; scale; 0.3; 0.5236388584763965; 0.6878268279866614
linear; True; 0.1; scale; 0.5; 0.5331088125743417; 0.6328010150835582
poly; True; 0.1; scale; 0.5; 0.5768978671697597; 0.6023958011923259
rbf; True; 0.1; scale; 0.5; 0.565855499319638; 0.6102060101885881
linear; False; 0.1; scale; 0.5; 0.47322426173967247; 0.7233089344035172
poly; False; 0.1; scale; 0.5; 0.3926747622018453; 0.7766433211481387
rbf; False; 0.1; scale; 0.5; 0.5159643268342022; 0.6933453901847023
linear; True; 0.1; auto; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; auto; 0.1; 0.5517643125506848; 0.6200297731279312
rbf; True; 0.1; auto; 0.1; 0.5929843270978794; 0.5908332055859145
linear; False; 0.1; auto; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; auto; 0.1; 0.3349513456454657; 0.8127138424901846
rbf; False; 0.1; auto; 0.1; 0.521962105149596; 0.689036312460544
linear; True; 0.1; auto; 0.3; 0.524690089658288; 0.6384806847574926
poly; True; 0.1; auto; 0.3; 0.5714507235316248; 0.6062611122096516
rbf; True; 0.1; auto; 0.3; 0.588206159114665; 0.594291135235776
linear; False; 0.1; auto; 0.3; 0.4472609959639344; 0.7409194628618705
poly; False; 0.1; auto; 0.3; 0.35375602095709047; 0.8011414503140198
rbf; False; 0.1; auto; 0.3; 0.521315238572267; 0.6895023465196894
linear; True; 0.1; auto; 0.5; 0.5331088125743417; 0.6328010150835582
poly; True; 0.1; auto; 0.5; 0.577230635689186; 0.6021588633777992
rbf; True; 0.1; auto; 0.5; 0.565664775694853; 0.6103400299941807
linear; False; 0.1; auto; 0.5; 0.47322426173967247; 0.7233089344035172
poly; False; 0.1; auto; 0.5; 0.3931163121407737; 0.7763609443072392
rbf; False; 0.1; auto; 0.5; 0.5140060247064433; 0.6947465360912938
linear; True; 0.1; 0.01; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; 0.01; 0.1; -0.022493974993084365; 0.9364610263447738
rbf; True; 0.1; 0.01; 0.1; 0.5202132799599501; 0.641480472325217
linear; False; 0.1; 0.01; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; 0.01; 0.1; -0.04187061362764943; 1.0172269127049522
rbf; False; 0.1; 0.01; 0.1; 0.4192618178377737; 0.7594534123111594
linear; True; 0.1; 0.01; 0.3; 0.524690089658288; 0.6384806847574926
poly; True; 0.1; 0.01; 0.3; 0.0024627740752048988; 0.9249619861719723
rbf; True; 0.1; 0.01; 0.3; 0.5276690978591211; 0.6364766987352469
linear; False; 0.1; 0.01; 0.3; 0.4472609959639344; 0.7409194628618705
poly; False; 0.1; 0.01; 0.3; -0.021028769401393754; 1.007001081641114
rbf; False; 0.1; 0.01; 0.3; 0.43333441624480773; 0.7501953462616531
linear; True; 0.1; 0.01; 0.5; 0.5331088125743417; 0.6328010150835582
poly; True; 0.1; 0.01; 0.5; 0.03999099402623518; 0.9073962547893696
rbf; True; 0.1; 0.01; 0.5; 0.5168932088081776; 0.6436961329379388
linear; False; 0.1; 0.01; 0.5; 0.47322426173967247; 0.7233089344035172
poly; False; 0.1; 0.01; 0.5; 0.011628624331698423; 0.99076584594724
rbf; False; 0.1; 0.01; 0.5; 0.43338463051831144; 0.7501621067726624
linear; True; 0.1; 0.001; 0.1; 0.50532663468826; 0.6513562615880794
poly; True; 0.1; 0.001; 0.1; -0.09434297940250302; 0.9688042980247612
rbf; True; 0.1; 0.001; 0.1; 0.3331036091996158; 0.7562902687426353
linear; False; 0.1; 0.001; 0.1; 0.4166665524468107; 0.7611484842804557
poly; False; 0.1; 0.001; 0.1; -0.06974087304289944; 1.0307426396823038
rbf; False; 0.1; 0.001; 0.1; 0.24185076581839948; 0.8677373630012635
linear; True; 0.1; 0.001; 0.3; 0.524690089658288; 0.6384806847574926
poly; True; 0.1; 0.001; 0.3; -0.06394015153719312; 0.9552519396825099
rbf; True; 0.1; 0.001; 0.3; 0.3404394010201347; 0.7521192090684989
linear; False; 0.1; 0.001; 0.3; 0.4472609959639344; 0.7409194628618705
poly; False; 0.1; 0.001; 0.3; -0.04804311041656639; 1.0202357112943794
rbf; False; 0.1; 0.001; 0.3; 0.253976081103653; 0.8607703984495841
linear; True; 0.1; 0.001; 0.5; 0.5331088125743417; 0.6328010150835582
poly; True; 0.1; 0.001; 0.5; -0.018227655355924632; 0.9345053090582623
rbf; True; 0.1; 0.001; 0.5; 0.3291018438024831; 0.7585559652262679
linear; False; 0.1; 0.001; 0.5; 0.47322426173967247; 0.7233089344035172
poly; False; 0.1; 0.001; 0.5; -0.012669243350831305; 1.0028702709709494
rbf; False; 0.1; 0.001; 0.5; 0.2542349148930788; 0.8606210628943607
linear; True; 1; scale; 0.1; 0.5055342240218199; 0.6512195766456582
poly; True; 1; scale; 0.1; 0.5588943498281815; 0.6150786311394646
rbf; True; 1; scale; 0.1; 0.6927299603318762; 0.5133569393820906
linear; False; 1; scale; 0.1; 0.41757673067600276; 0.7605544404870797
poly; False; 1; scale; 0.1; 0.3495825220387261; 0.8037242071301702
rbf; False; 1; scale; 0.1; 0.6221045588606029; 0.6126279033582103
linear; True; 1; scale; 0.3; 0.5247551597207794; 0.6384369791675565
poly; True; 1; scale; 0.3; 0.5894793944044875; 0.5933716724244884
rbf; True; 1; scale; 0.3; 0.6993616693481628; 0.5077869137678457
linear; False; 1; scale; 0.3; 0.4477225530653842; 0.740610050953417
poly; False; 1; scale; 0.3; 0.3539192558014672; 0.8010402637162969
rbf; False; 1; scale; 0.3; 0.6307395428076711; 0.6055881228149477
linear; True; 1; scale; 0.5; 0.5333190185053475; 0.6326585477319281
poly; True; 1; scale; 0.5; 0.5625073044564226; 0.6125544962138469
rbf; True; 1; scale; 0.5; 0.6820724782558228; 0.5221837961801701
linear; False; 1; scale; 0.5; 0.4730262771465218; 0.7234448466729103
poly; False; 1; scale; 0.5; 0.36939128370320906; 0.7913906811548506
rbf; False; 1; scale; 0.5; 0.6212230458669505; 0.6133420227004002
linear; True; 1; auto; 0.1; 0.5055342240218199; 0.6512195766456582
poly; True; 1; auto; 0.1; 0.5589352547920332; 0.6150501114951641
rbf; True; 1; auto; 0.1; 0.6928764617449479; 0.5132345446252145
linear; False; 1; auto; 0.1; 0.41757673067600276; 0.7605544404870797
poly; False; 1; auto; 0.1; 0.3546574416778451; 0.8005825147316681
rbf; False; 1; auto; 0.1; 0.6225180554312266; 0.6122926401562954
linear; True; 1; auto; 0.3; 0.5247551597207794; 0.6384369791675565
poly; True; 1; auto; 0.3; 0.589603860835282; 0.5932817129290482
rbf; True; 1; auto; 0.3; 0.6995283307595802; 0.5076461462625079
linear; False; 1; auto; 0.3; 0.4477225530653842; 0.740610050953417
poly; False; 1; auto; 0.3; 0.3515074655682332; 0.8025339945672373
rbf; False; 1; auto; 0.3; 0.629016158834019; 0.6069996549126194
