Dataset; mean; median; std; var; min; max
BC; 1.309453705896282; 0.971; 1.1222861691863695; 1.2595262455470162; 0.11; 12.767
N_CPC; 13.651880416765334; 11.547; 8.236567898765454; 67.84105075097358; 1.376; 73.49
PM_10; 15.132366327255504; 12.883; 14.254217923368875; 203.1827286068905; 0.6; 398.717
PM_2_5; 9.302461283447787; 7.933; 6.08959197098996; 37.08313037314539; 0.5; 76.833
PM_1_0; 7.259923987686479; 5.817; 5.479391483073189; 30.023731024775003; 0.333; 34.383
NO2; 30.032401610229694; 23.0; 21.77995087250503; 474.3662600087325; 2.0; 132.0
O3; 48.13915841818612; 49.0; 26.10455897265914; 681.4479991570389; 1.0; 142.0
SO2; 1.3684589154629412; 1.0; 0.7993228805770433; 0.6389170674139821; 0.5; 13.0
CO; 0.31292446128344786; 0.2; 0.2117805752580808; 0.04485101205664362; 0.1; 1.9
NO; 7.796787828557897; 3.0; 18.5254518380742; 343.1923658048068; 0.5; 255.0
NOX; 41.608059199621124; 28.0; 45.40082869656371; 2061.2352463347224; 1.0; 521.0
TEMP; 17.83341131896756; 17.133; 6.1220268324175215; 37.47921253684011; 4.083; 34.983
HUM; 70.84852000947194; 72.083; 15.161240815431007; 229.86322306349106; 19.383; 100.0
